rank,city,state,population2012,population2010,land_area,density,ansi,lat,lon
1,New York,New York,8336697,8175133,302.643,27012,2395220,40.6643,73.9385
2,Los Angeles,California,3857799,3792621,468.670,8092,2410877,34.0194,118.4108
3,Chicago,Illinois,2714856,2695598,227.635,11842,428803,41.8376,87.6818
4,Houston,Texas,2160821,2100263,599.589,3501,2410796,29.7805,95.3863
5,Philadelphia,Pennsylvania,1547607,1526006,134.101,11379,1215531,40.0094,75.1333
6,Phoenix,Arizona,1488750,1445632,516.704,2798,2411414,33.5722,112.088
7,San Antonio,Texas,1382951,1327407,460.933,2880,2411774,29.4724,98.5251
8,San Diego,California,1338348,1307402,325.188,4020,2411782,32.8153,117.135
9,Dallas,Texas,1241162,1197816,340.519,3518,2410288,32.7757,96.7967
10,San Jose,California,982765,945942,176.526,5359,2411790,37.2969,121.8193
11,Austin,Texas,842592,790390,297.896,2653,2409761,30.3072,97.756
12,Jacksonville,Florida,836507,821784,747.003,1100,2404783,30.337,81.6613
13,Indianapolis,Indiana,834852,820445,361.433,2270,2395424,39.7767,86.1459
14,San Francisco,California,825863,805235,46.873,17179,2411786,37.7272,123.0322
15,Columbus,Ohio,809798,787033,217.169,3624,1086101,39.9848,82.985
16,Fort Worth,Texas,777992,741206,339.819,2181,2410531,32.7795,97.3463
17,Charlotte,North Carolina,775202,731424,297.678,2457,2404032,35.2087,80.8307
18,Detroit,Michigan,701475,713777,138.750,5144,1626181,42.383,83.1022
19,El Paso,Texas,672538,649121,255.235,2543,2410414,31.8484,106.427
20,Memphis,Tennessee,655155,646889,315.055,2053,2405068,35.1035,89.9785
21,Boston,Massachusetts,636479,617594,48.277,12793,619463,42.332,71.0202
22,Seattle,Washington,634535,608660,83.943,7251,2411856,47.6205,122.3509
23,Denver,Colorado,634265,600158,153.000,3923,2410324,39.7618,104.8806
24,Washington,District of Columbia,632323,601723,61.048,9856,2390665,38.9041,77.0171
25,Nashville,Tennessee,624496,601222,475.126,1265,2405092,36.1718,86.785
26,Baltimore,Maryland,621342,620961,80.944,7672,1702381,39.3002,76.6105
27,Louisville,Kentucky,605110,597337,325.248,1837,1967434,38.1781,85.6667
28,Portland,Oregon,603106,583776,133.427,4375,2411471,45.537,122.65
29,Oklahoma City,Oklahoma,599199,579999,606.410,956,2411311,35.4671,97.5137
30,Milwaukee,Wisconsin,598916,594833,96.122,6188,1583724,43.0633,87.9667
31,Las Vegas,Nevada,596424,583756,135.815,4298,2411630,36.2277,115.264
32,Albuquerque,New Mexico,555417,545852,187.730,2908,2409678,35.1056,106.6474
33,Tucson,Arizona,524295,520116,226.709,2294,2412104,32.1543,110.8711
34,Fresno,California,505882,494665,111.957,4418,2410546,36.7827,119.7945
35,Sacramento,California,475516,466488,97.915,4764,2411751,38.5666,121.4686
36,Long Beach,California,467892,462257,50.293,9191,2410866,33.8091,118.1553
37,Kansas City,Missouri,464310,459787,314.950,1460,2395492,39.1252,94.5511
38,Mesa,Arizona,452084,439041,136.452,3218,2411087,33.4019,111.7174
39,Virginia Beach,Virginia,447021,437994,249.016,1759,1498559,36.7793,76.024
40,Atlanta,Georgia,443775,420003,133.152,3154,2403126,33.7629,84.4227
