abbreviation,state,capital,nicknames,bird,flower,tree,motto,song,land_area,water_area,total_area,lat,lon,status
AL,Alabama,Montgomery,Cotton State; Heart of Dixie; Yellow-hammer State,Yellowhammer,Camellia,Southern pine,"Audemus jura nostra defendere (""We dare defend our rights"")",Alabama,50645.33,1774.74,52420.07,32.7396323,-86.8434593,State
AK,Alaska,Juneau,Land of the Midnight Sun; The Last Frontier,Willow ptarmigan,Forget-me-not,Sitka spruce,North to the Future (unofficial),Alaska's Flag,570640.95,94743.1,665384.04,63.346191,-152.8370679,State
AZ,Arizona,Phoenix,Grand Canyon State,Cactus wren,Saguaro cactus,Paloverde,"Ditat Deus (""God enriches"")",Arizona,113594.08,396.22,113990.3,34.2099643,-111.602401,State
AR,Arkansas,Little Rock,Land of Opportunity; The Natural State,Mockingbird,Apple blossom,Short-leaf pine,"Regnat populus(""The people rule"")",Arkansas,52035.48,1143.07,53178.55,34.8955256,-92.4446262,State
CA,California,Sacramento,Golden State,Valley quail,Golden poppy,Redwood,"Eureka (""I have found it"")","I Love You, California",155779.22,7915.52,163694.74,37.148573,-119.5406515,State
CO,Colorado,Denver,Centennial State,Lark bunting,Columbine,Blue spruce,"Nil sine numine(""Nothing without Providence"")",Where the Columbines Grow,103641.89,451.78,104093.67,38.9935752,-105.5077737,State
CT,Connecticut,Hartford,Constitution State; Nutmeg State,American robin,Mountain laurel,White oak,"Qui transtulit sustinet (""He who transplanted still sustains"")",(none),4842.36,701.06,5543.41,41.5797842,-72.7466666,State
DE,Delaware,Dover,Diamond State; First State,Blue hen chicken,Peach blossom,American holly,Liberty and Independence,Our Delaware,1948.54,540.18,2488.72,38.9935501,-75.4473739,State
DC,District of Columbia,Washington,D.C.,Wood Thrush,American Beauty Rose,Scarlet Oak,Justia Omnibus - Justice for All,The Star-Spangled Banner,61.05,7.29,68.34,38.9041485,-77.0170942,Federal Distirict
FL,Florida,Tallahassee,Sunshine State; Peninsula State,Mockingbird,Orange blossom,Sabal palm,In God We Trust,The Swanee River (Old Folks at Home),53624.76,12132.94,65757.7,28.4574302,-82.4091478,State
